Name,Datum,Sterne,Reviews
Dieter,"['Überprüft in Deutschland 🇩🇪 am', '10. April 2021']",5,"
Das Mittel beziehen wir schon viele Jahre. Unser Teich ist dadurch so gut wie Algenfrei.
"
Peter Hofschweiger,"['Überprüft in Deutschland 🇩🇪 am', '18. Juni 2021']",5,"
Alles bestens !!
"
Amazon Kunde,"['Überprüft in Deutschland 🇩🇪 am', '10. September 2018']",5,"
Wir haben die beiden Mittel gegen Grünalgenbefall für unseren neu angelegten Gartenteich bestellt. Da unser ""Kleingewässer"" (3x4m) komplett der Sonne ausgesetzt ist, war das Algenaufkommen mehr als störend. GrünesWasser, grüner Belag der Teichwanne. Wir haben dann die beiden Mittel nach Gebrauchsanweisung eingebracht,wobei die angegebeneTelefon-Hotline sehr hilfreich war. Nach nun etwa 3 Wochen ist unser Teich wieder klar!!!Ein vorhandener Springbrunnen hat u.U. sicherlich unterstützend mitgewirkt.Wie schon gesagt, ein ""Volltreffer"", daher ""höchste Punktzahl""...!!
"
Florian B.,"['Überprüft in Deutschland 🇩🇪 am', '22. April 2021']",5,"
Hat super geklappt, Teich sieht toll aus.
"
Amazon Kunde,"['Überprüft in Deutschland 🇩🇪 am', '9. März 2021']",5,"
Das Produkt kaufen wir jedes Jahr wieder
"
Amazon Kunde,"['Überprüft in Deutschland 🇩🇪 am', '25. September 2020']",3,"
Hat zwar die Algen an den Umlaufenden Steinen gelöst aber das Wasser ist leider Dauerhaft grün geblieben
"
Sabine Reinke,"['Überprüft in Deutschland 🇩🇪 am', '28. Juli 2019']",4,"
Produkt erfüllt den Erwartungen
"
Svenja S.,"['Überprüft in Deutschland 🇩🇪 am', '22. Juli 2019']",5,"
Unser 10000 l Teich war trotz gründlicher Reinigung wieder trübe geworden.Nach Anwendung beider Produkte dauerte es aber noch 14 Tage und dann war der Teich glasklar und ist es bis heute noch.Sehr empfehlenswert!!!
"
Ich,"['Überprüft in Deutschland 🇩🇪 am', '3. September 2020']",5,"
Macht genau was es soll.
"
Kmetic A.,"['Überprüft in Deutschland 🇩🇪 am', '20. Oktober 2021']",1,"
Die Algen wurden nicht entfernt.
"
Helmut Lindner,"['Überprüft in Deutschland 🇩🇪 am', '13. August 2013']",4,"
der Algenkiller hat sehr gut gewirkt. Allerdings hat die Wirkung sehr schnell nachgelassen (ca. 4 Wochen)und der Teich veralgt bereits wieder, obwohl dies angeblich nicht mehr passieren sollte, weil eine biologische Wirken aufgebaut wird.Für die kurze Dauer ist der finanzielle Aufwand zu hoch.
"
Jendrik Nickel,"['Überprüft in Deutschland 🇩🇪 am', '18. Mai 2019']",5,"
Wasser wahr ratzfatz wieder klar und die Algen zack nach ca  1 woche kommplett weg
"
Gloria,"['Überprüft in Deutschland 🇩🇪 am', '8. September 2022']",5,"
In meinem Koiteich hatte ich extrem Algenbewuchs. Vor ca. 14 Tagen wandte ich Algenkiller Protekt und Schlammkiller Kombi an. Die Algen sind fast alle verschwunden, wurden teilweise problemlos entfernt. Seit ca. 8 Tagen läuft die Pumpe tadellos. Vor der Anwendung musste ich jeden 2. Tag die Pumpe von Algen befreien. Die UV-lampe ist abgeschaltet. Kurz gesagt: ich kann diese Produkte nur empfehlen. Einfach topp.
"
Blue,"['Überprüft in Deutschland 🇩🇪 am', '17. Mai 2019']",5,"
Der Teich war nach ein paar Tagen klar und sauber!
"
Martin B.,"['Überprüft in Deutschland 🇩🇪 am', '15. Juli 2019']",5,"
Top Produkt! Keine Probleme mehr mit Algen....
"
Isabelle G.,"['Überprüft in Deutschland 🇩🇪 am', '8. Juli 2020']",1,"
Hallo. Wir haben es genau wie beschrieben angewendet, leider ging das nach hinten los. Das Wasser sah einige Tage später noch schlimmer aus. Wir mussten das Wasser austauschen um unsere Fische und Pflanzen zu retten. Nicht empfehlenswert.
"
Betty,"['Überprüft in Deutschland 🇩🇪 am', '31. März 2019']",5,"
Zur Reinigung meines Teiches
"
Marion Brunold,"['Überprüft in Deutschland 🇩🇪 am', '22. Mai 2019']",5,"
Nützt perfekt.
"
Birgit,"['Überprüft in Deutschland 🇩🇪 am', '9. Mai 2013']",5,"
bin sehr zufrieden mit Produkt und und der Lieferung.wer keine chemie möchte und Geduld hat würde ich es immer empfehlen,ich selber nehme es schon seit Jahren.
"
hanso,"['Überprüft in Deutschland 🇩🇪 am', '4. Oktober 2014']",1,"
Ausgangslage: Teich etwa 15 cbm groß, Halbschattenlage, Besatz mit vier Goldfischen, gänzlich mit dicken Kieseln ausgelegt, im Jahr 2013 völliger Wasseraustausch mit gleichzeitiger Reinigung aller Steine mittels Hochdruckreiniger und Neuverlegung, Regenwasserneubefüllung, kein Düngereintrag, hereingewehte Pflanzenreste stets sorgfältig abgeschöpft, trotz kühlen Sommers 2014 Grünverfärbung und starke Eintrübung des Wassers. Den ALGENKILLER PROTECT und später auch BIO SPEED nach Anleitung eingesetzt. Nach rund vier Wochen Einwirkzeit nicht die geringste erkennbare Wirkung. Die Farbe des Wassers hat sich lediglich in ein leicht bräunliches Grün verwandelt. Frosch und die zuvor zahlreichen Wasserläufer sind verschwunden, die Seerosenblüten schlagartig abgestorben. Eine Laboranalyse der eingesetzten Mittel wäre einmal interessant. Der alternative Einsatz von Wasserstoffperoxid hätte zwar denselben Nachteil gehabt, aber das Wasser auf preiswertere Weise klar gemacht. Wenn es weniger als einen Stern gäbe, so wäre dies hier angebracht.
"
Hundertmark,"['Überprüft in Deutschland 🇩🇪 am', '10. Juli 2022']",5,"
Mein Teich war grün und voller Fadenalgen . Die Kombo rein im Teich und Tag 2 Tage später war er klar , es hör jetzt schon 4 Wochen ohne neue Algen
"
Dieter Reith,"['Überprüft in Deutschland 🇩🇪 am', '22. März 2021']",5,"
Super
"
MO,"['Überprüft in Deutschland 🇩🇪 am', '23. März 2022']",5,"
Benutze den Algenkiller seit Jahren, habe nach einer Woche meist glasklares Wasser. Wenn man sich natürlich auch regelmäßig um die Pumpe kümmert! Zu empfehlen!
"
Schnucki,"['Überprüft in Deutschland 🇩🇪 am', '19. März 2021']",5,"
Wir kaufen schon viele Jahre diese Produkte, einfach Top.
"
